 # Self interactions for GROMACS:            'C'            'A'
  PFH   C          ********  0.000    A       0.44522E-01     0.42070E-06
  W     C          18.01528  0.000    A       0.15581E-01     0.81527E-03
  NA    C          22.99000  0.000    A       0.20660E-03     0.26681E-06
  CL    C          35.45000  0.000    A       0.11900E-01     0.86350E-04
